#labels: ptw__-0p25__0_lower[1] ptw__-0p25__0_center[2] ptw__-0p25__0_upper[3] tot_scale01[4] tot_scale01_Err[5] tot_scale02[6] tot_scale02_Err[7] tot_scale03[8] tot_scale03_Err[9] tot_scale04[10] tot_scale04_Err[11] tot_scale05[12] tot_scale05_Err[13] tot_scale06[14] tot_scale06_Err[15] tot_scale07[16] tot_scale07_Err[17]
#neval: 39640904
#overflow:lower center upper 3.85279025066E+03 3.66646936615E+01 4.31474358016E+03 4.10573437954E+01 3.48211611837E+03 3.31395988009E+01 3.75413343589E+03 3.55917953849E+01 3.90306533314E+03 3.72679672507E+01 4.20422392174E+03 3.98550412094E+01 3.52753732886E+03 3.36844259559E+01 
0.00000000000E+00 5.00000000000E-01 1.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 
1.00000000000E+00 1.50000000000E+00 2.00000000000E+00 1.73307827789E+05 7.27726352990E+02 1.94163044047E+05 8.14950586341E+02 1.56586752177E+05 6.57736280295E+02 1.50085477229E+05 6.29900277839E+02 1.94413778799E+05 8.17711240119E+02 1.68139114513E+05 7.05353932205E+02 1.75651517469E+05 7.39035878087E+02 
2.00000000000E+00 2.50000000000E+00 3.00000000000E+00 8.80558396250E+04 4.19394717132E+02 9.86504986030E+04 4.69291001286E+02 7.95610558942E+04 3.79308902466E+02 7.64615877663E+04 3.65417459164E+02 9.85429484358E+04 4.68854972026E+02 8.56577954289E+04 4.08806801719E+02 8.90341378028E+04 4.23988062867E+02 
3.00000000000E+00 3.50000000000E+00 4.00000000000E+00 5.55816761467E+04 2.83960128873E+02 6.22694455283E+04 3.18013964100E+02 5.02194536106E+04 2.56637095673E+02 4.83634240639E+04 2.46634415380E+02 6.20845056710E+04 3.18029266717E+02 5.41805964870E+04 2.76199259388E+02 5.60935386818E+04 2.87419377031E+02 
4.00000000000E+00 4.50000000000E+00 5.00000000000E+00 3.99755133904E+04 2.22749989749E+02 4.47851811116E+04 2.49430266059E+02 3.61190697472E+04 2.01339111530E+02 3.48537158319E+04 1.94025385580E+02 4.45723113672E+04 2.48877405386E+02 3.90457708884E+04 2.17250007006E+02 4.02715031079E+04 2.24945376507E+02 
5.00000000000E+00 5.50000000000E+00 6.00000000000E+00 3.03533520619E+04 1.80526286232E+02 3.40051855742E+04 2.02188108395E+02 2.74252266353E+04 1.63147692814E+02 2.65041174640E+04 1.57247961910E+02 3.37975532842E+04 2.01640335607E+02 2.96918621474E+04 1.76110031053E+02 3.05365257469E+04 1.82224789818E+02 
6.00000000000E+00 6.50000000000E+00 7.00000000000E+00 2.39613450511E+04 1.52858340870E+02 2.68435748241E+04 1.71174947264E+02 2.16502173869E+04 1.38160578539E+02 2.09559962533E+04 1.33423692996E+02 2.66422323775E+04 1.70447244388E+02 2.34759176871E+04 1.49399763844E+02 2.40720016396E+04 1.54050963254E+02 
7.00000000000E+00 7.50000000000E+00 8.00000000000E+00 1.95638341780E+04 1.31631205805E+02 2.19170502771E+04 1.47434105971E+02 1.76768590461E+04 1.18954156972E+02 1.71431973725E+04 1.14996724179E+02 2.17151707629E+04 1.46629885733E+02 1.92047080857E+04 1.28798741363E+02 1.96203439494E+04 1.32505824175E+02 
8.00000000000E+00 8.50000000000E+00 9.00000000000E+00 1.66372631653E+04 1.18488655934E+02 1.86384914781E+04 1.32702506991E+02 1.50325449408E+04 1.07084906778E+02 1.45961816481E+04 1.03703757279E+02 1.84469346992E+04 1.31789173191E+02 1.63514399187E+04 1.16139382042E+02 1.66673743229E+04 1.19102327629E+02 
9.00000000000E+00 9.50000000000E+00 1.00000000000E+01 1.39291823671E+04 1.04320006246E+02 1.56043852055E+04 1.16827933077E+02 1.25858498063E+04 9.42839933943E+01 1.22421605148E+04 9.14082535080E+01 1.54202212042E+04 1.15904501352E+02 1.37140893277E+04 1.02363406892E+02 1.39328482226E+04 1.04751025445E+02 
1.00000000000E+01 1.05000000000E+01 1.10000000000E+01 1.20905222330E+04 9.50967951110E+01 1.35448329690E+04 1.06512311840E+02 1.09243541673E+04 8.59391698941E+01 1.06400722476E+04 8.34294507091E+01 1.33691057422E+04 1.05538679295E+02 1.19196082178E+04 9.34418413837E+01 1.20794204356E+04 9.53738749857E+01 
1.10000000000E+01 1.15000000000E+01 1.20000000000E+01 1.04050958507E+04 8.62010424742E+01 1.16563454962E+04 9.65431563280E+01 9.40170178490E+03 7.79037337685E+01 9.16826408564E+03 7.57436008426E+01 1.14924930130E+04 9.55342218427E+01 1.02705116441E+04 8.48279833098E+01 1.03840683973E+04 8.63365976827E+01 
1.20000000000E+01 1.25000000000E+01 1.30000000000E+01 9.27772054323E+03 7.97067400559E+01 1.03935084332E+04 8.92723190790E+01 8.38296843756E+03 7.20328628888E+01 8.18491590718E+03 7.00901573124E+01 1.02358018002E+04 8.82704111821E+01 9.16905401186E+03 7.84988489543E+01 9.24851104657E+03 7.97703047108E+01 
1.30000000000E+01 1.35000000000E+01 1.40000000000E+01 8.04377972549E+03 7.24088491181E+01 9.01101385975E+03 8.10930297098E+01 7.26813528476E+03 6.54413915306E+01 7.10484759912E+03 6.37749271649E+01 8.86496375956E+03 8.00774340129E+01 7.95894918166E+03 7.14195473501E+01 8.00999029759E+03 7.23695210692E+01 
