#labels: ptw__-3p0__-2p75_lower[1] ptw__-3p0__-2p75_center[2] ptw__-3p0__-2p75_upper[3] tot_scale01[4] tot_scale01_Err[5] tot_scale02[6] tot_scale02_Err[7] tot_scale03[8] tot_scale03_Err[9] tot_scale04[10] tot_scale04_Err[11] tot_scale05[12] tot_scale05_Err[13] tot_scale06[14] tot_scale06_Err[15] tot_scale07[16] tot_scale07_Err[17]
#neval: 39640904
#overflow:lower center upper 9.80135025774E+02 2.02529205440E+01 1.09779725477E+03 2.26843512603E+01 8.85743077125E+02 1.83023891403E+01 9.72192266503E+02 1.98654070546E+01 9.75734549071E+02 2.03501130234E+01 1.08889689092E+03 2.22502166323E+01 8.81764526885E+02 1.83901762995E+01 
0.00000000000E+00 5.00000000000E-01 1.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 0.00000000000E+00 
1.00000000000E+00 1.50000000000E+00 2.00000000000E+00 1.07251830662E+05 5.96137792264E+02 1.20164731899E+05 6.67742206717E+02 9.68999100040E+04 5.38705279450E+02 9.52739234148E+04 5.31767173548E+02 1.17854421471E+05 6.53706316013E+02 1.06739385253E+05 5.95605643720E+02 1.06475581352E+05 5.90704409681E+02 
2.00000000000E+00 2.50000000000E+00 3.00000000000E+00 5.36496882898E+04 3.36988284860E+02 6.01075742810E+04 3.77452676305E+02 4.84722546193E+04 3.04530045794E+02 4.77192539763E+04 3.00604730958E+02 5.88691025078E+04 3.69359120229E+02 5.34609769299E+04 3.36683788630E+02 5.31864508250E+04 3.33771967502E+02 
3.00000000000E+00 3.50000000000E+00 4.00000000000E+00 3.41533661515E+04 2.39612246899E+02 3.82642450299E+04 2.68379132953E+02 3.08575579963E+04 2.16536631921E+02 3.04193188637E+04 2.13878671391E+02 3.74245844935E+04 2.62415174272E+02 3.40792363005E+04 2.39542273269E+02 3.38121148603E+04 2.37134342351E+02 
4.00000000000E+00 4.50000000000E+00 5.00000000000E+00 2.43756071122E+04 1.87910505789E+02 2.73093515268E+04 2.10441373857E+02 2.20234897875E+04 1.69833445872E+02 2.17320568963E+04 1.67967289397E+02 2.66834891910E+04 2.05533496132E+02 2.43466123753E+04 1.88089250084E+02 2.41080121614E+04 1.85750222896E+02 
5.00000000000E+00 5.50000000000E+00 6.00000000000E+00 1.82534210379E+04 1.53860400859E+02 2.04499043213E+04 1.72328552749E+02 1.64923174729E+04 1.39045276588E+02 1.62971378119E+04 1.37571833956E+02 1.99527512786E+04 1.68177359163E+02 1.82574981002E+04 1.54076886169E+02 1.80272367065E+04 1.51978576576E+02 
6.00000000000E+00 6.50000000000E+00 7.00000000000E+00 1.44648372733E+04 1.31498895364E+02 1.62050566438E+04 1.47279152301E+02 1.30694813730E+04 1.18839222952E+02 1.29244858416E+04 1.17587362217E+02 1.57996620182E+04 1.43702499256E+02 1.44788933555E+04 1.31692342465E+02 1.42752249163E+04 1.29864223681E+02 
7.00000000000E+00 7.50000000000E+00 8.00000000000E+00 1.17111736064E+04 1.13785388147E+02 1.31205771875E+04 1.27451681563E+02 1.05811519381E+04 1.02823385008E+02 1.04755981133E+04 1.01796163913E+02 1.27779132860E+04 1.24266985148E+02 1.17358884682E+04 1.14018501830E+02 1.15446973671E+04 1.12292565548E+02 
8.00000000000E+00 8.50000000000E+00 9.00000000000E+00 9.80140934713E+03 1.01375415691E+02 1.09807025545E+04 1.13548709312E+02 8.85584301739E+03 9.16106460141E+01 8.77571425475E+03 9.07790237134E+01 1.06839151401E+04 1.10609322216E+02 9.83124159271E+03 1.01675788761E+02 9.65298778037E+03 9.99524958511E+01 
9.00000000000E+00 9.50000000000E+00 1.00000000000E+01 8.12041703057E+03 8.94875038648E+01 9.09761306073E+03 1.00239767215E+02 7.33691424893E+03 8.08635412526E+01 7.27627247860E+03 8.01237021091E+01 8.84430302956E+03 9.76246288753E+01 8.15161741833E+03 8.97483109908E+01 7.99078775000E+03 8.82148107688E+01 
1.00000000000E+01 1.05000000000E+01 1.10000000000E+01 7.04641332053E+03 8.18592489284E+01 7.89433921511E+03 9.16941661384E+01 6.36654662756E+03 7.39709516708E+01 6.31929648198E+03 7.33429810471E+01 7.66842395399E+03 8.92428194101E+01 7.07952607342E+03 8.21524024052E+01 6.92841935896E+03 8.06415343289E+01 
1.10000000000E+01 1.15000000000E+01 1.20000000000E+01 6.04135246543E+03 7.41506386133E+01 6.76836943413E+03 8.30607060121E+01 5.45843430103E+03 6.70043095689E+01 5.42385217153E+03 6.64706718609E+01 6.56775995659E+03 8.07875873451E+01 6.07639606481E+03 7.44559520688E+01 5.93394909893E+03 7.30003903890E+01 
1.20000000000E+01 1.25000000000E+01 1.30000000000E+01 5.40911678062E+03 6.97239406448E+01 6.05985835143E+03 7.80968768802E+01 4.88731862371E+03 6.30076983659E+01 4.86212020842E+03 6.26369774762E+01 5.87343683100E+03 7.58220069338E+01 5.44692574333E+03 7.01561749976E+01 5.30676783462E+03 6.85167448522E+01 
1.30000000000E+01 1.35000000000E+01 1.40000000000E+01 4.76527299469E+03 6.41530872590E+01 5.33838907578E+03 7.18565432779E+01 4.30569672501E+03 5.79737438507E+01 4.28771353865E+03 5.76520353603E+01 5.16977408303E+03 6.97383826468E+01 4.80325087347E+03 6.45721582308E+01 4.67109956692E+03 6.30194447916E+01 
