#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -519250.3928264491 12.33720759832067
10 60 -5 -4 0.5 1 96560.3541939054 4.206614253271255
10 60 -5 -4 1 1.5 97676.04435605307 3.473552727024071
10 60 -5 -4 1.5 2 77008.94105632923 2.643720902517089
10 60 -5 -4 2 2.5 60786.15255467001 2.049363280348189
10 60 -5 -4 2.5 3 48939.60154796085 1.611325795049197
10 60 -5 -4 3 3.5 40169.74730630685 1.277568444638746
10 60 -5 -4 3.5 4 33515.2583520947 1.016597700734565
10 60 -5 -4 4 4.5 28343.12331324998 0.8114198975781619
10 60 -5 -4 4.5 5 24237.06621360323 0.6466174959678028
10 60 -5 -4 5 5.5 20917.70792032432 0.5174895718846528
10 60 -5 -4 5.5 6 18192.52323262645 0.7549154228072439
10 60 -5 -4 6 6.5 15925.60718787761 0.3406894616109639
10 60 -5 -4 6.5 7 14018.68253071712 0.2790835491778125
10 60 -5 -4 7 7.5 12399.23200258663 0.2307898341332475
10 60 -5 -4 7.5 8 11012.62427502377 0.1923316321535822
10 60 -5 -4 8 8.5 9816.979918116112 0.1611841884114256
10 60 -5 -4 8.5 9 8779.671266348027 0.1361767771086306
10 60 -5 -4 9 9.5 7874.907396552833 0.1151917986853732
10 60 -5 -4 9.5 10 7082.032239808175 0.09779328618151339
10 60 -5 -4 10 10.5 6384.306977506554 0.08431891127656854
10 60 -5 -4 10.5 11 5768.023864337254 0.07271454023157276
10 60 -5 -4 11 11.5 5221.850473171973 0.2336927047863355
10 60 -5 -4 11.5 12 4736.339708640527 0.1709963243956736
10 60 -5 -4 12 12.5 4303.556346809608 0.1213575926649355
10 60 -5 -4 12.5 13 3916.791728663221 0.08232167408141322
10 60 -5 -4 13 13.5 3570.338830626259 0.05167619863732398
10 60 -5 -4 13.5 14 3259.31759096122 0.03266957612504484
10 60 -5 -4 14 14.5 2979.535746926431 0.02896437411163788
10 60 -5 -4 14.5 15 2727.374379931605 0.02521281588224156
10 60 -5 -4 15 16 4793.477108592588 0.1621846451926103
10 60 -5 -4 16 17 4045.237055606665 0.03497070137791525
10 60 -5 -4 17 18 3428.536990846879 0.02842907212971113
10 60 -5 -4 18 19 2917.407122408313 0.02294413830213671
10 60 -5 -4 19 20 2491.605434404593 0.01927140593807053
10 60 -5 -4 20 21 2135.214551612155 0.01612765781010239
10 60 -5 -4 21 22 1835.617631955387 0.0139258803149005
10 60 -5 -4 22 23 1582.744139995515 0.0148995281444968
10 60 -5 -4 23 24 1368.499702058497 0.01506769731213353
10 60 -5 -4 24 25 1186.341455697062 0.01395816998251576
10 60 -5 -4 25 26 1030.95079688132 0.01287069196405355
10 60 -5 -4 26 27 897.9828630152475 0.01203971274912874
10 60 -5 -4 27 28 783.8698277460308 0.01174273846470442
10 60 -5 -4 28 29 685.6664699923812 0.01173480743955224
10 60 -5 -4 29 30 600.934140347878 0.01110496809621964
10 60 -5 -4 30 31 527.6457941981464 0.01060423519413689
10 60 -5 -4 31 32 464.1083426658723 0.0100366862175747
10 60 -5 -4 32 33 408.9024084899791 0.009179246231099114
10 60 -5 -4 33 34 360.834514640924 0.008536536262170102
10 60 -5 -4 34 35 318.8981562758743 0.008089757617938176
10 60 -5 -4 35 36 282.2417608608732 0.00750555322542823
10 60 -5 -4 36 37 250.1426324078334 0.006615624081888427
10 60 -5 -4 37 38 221.985749420262 0.006048851358144702
10 60 -5 -4 38 39 197.2466018065566 0.005671336117245573
10 60 -5 -4 39 40 175.4759931661577 0.005319876625947018
10 60 -5 -4 40 42 295.6426150814374 0.008443742568658763
10 60 -5 -4 42 44 235.5259168654091 0.006132642232188346
10 60 -5 -4 44 46 188.3903882784318 0.004433646825958704
10 60 -5 -4 46 48 151.2508147099317 0.002451787214681644
10 60 -5 -4 48 50 121.853927598801 0.0009102502119446854
10 60 -5 -4 50 52 98.48669613323401 0.0007689665399794876
10 60 -5 -4 52 54 79.84008822418582 0.002370919026901674
10 60 -5 -4 54 56 64.90510701593448 0.003217573549363806
10 60 -5 -4 56 58 52.90160974797758 0.0003132771408260737
10 60 -5 -4 58 60 43.22329812891142 0.0002562004883515101
10 60 -5 -4 60 65 76.96624984164744 0.0004578892056059658
10 60 -5 -4 65 70 47.27041515999667 0.0002821677081996654
10 60 -5 -4 70 80 47.69400661689478 0.001023911123560595
10 60 -5 -4 80 90 18.87989551786788 0.0004747167252432405
10 60 -5 -4 90 100 7.596651599185153 0.0002247147611882383
10 60 -4 -3.5 0 0.5 -343398.6890623778 5.957408804737497
10 60 -4 -3.5 0.5 1 39466.38896158132 1.375253775455349
