#ylo yhi qTlo qThi PDF0  uncertainty
-5 -4.75 0 1 26.47301255518457 0.0008171322860199837
-5 -4.75 1 2 45.96444181192203 0.0009916239527640869
-5 -4.75 2 3 26.82105581742365 0.001175493508196013
-5 -4.75 3 4 17.63311405967212 0.0006375207056521504
-5 -4.75 4 5 12.45889138737782 0.000390495208755226
-5 -4.75 5 6 9.220078110011812 0.0002530020104085651
-5 -4.75 6 7 7.045034151341228 0.0001672109451567039
-5 -4.75 7 8 5.510064533205782 0.0001088118690013573
-5 -4.75 8 9 4.386299050084263 6.92744289549907e-05
-5 -4.75 9 10 3.540090898996568 4.297084645710214e-05
-5 -4.75 10 11 2.888573603187377 2.803921373795148e-05
-5 -4.75 11 12 2.377893285813267 2.34986137308546e-05
-5 -4.75 12 13 1.971678988358495 2.064698354575789e-05
-5 -4.75 13 14 1.644591895152763 1.887621813079221e-05
-5 -4.75 14 15 1.378496612812439 1.763019454470438e-05
-5 -4.75 15 16 1.160134804767941 3.456976310256543e-05
-5 -4.75 16 17 0.9796105681107823 1.394402006005269e-05
-5 -4.75 17 18 0.8294233643545235 2.003336502776065e-05
-5 -4.75 18 19 0.7038012089777064 3.402678582287155e-05
-5 -4.75 19 20 0.5982396347746274 7.580504742255023e-06
-5 -4.75 20 21 0.509189083807765 7.197626008426106e-06
-5 -4.75 21 22 0.433819793273217 7.000816443503144e-06
-5 -4.75 22 23 0.3698520287792885 6.766859615037202e-06
-5 -4.75 23 24 0.3154368198929836 6.38313736056606e-06
-5 -4.75 24 25 0.2690627862839078 5.63914040846436e-06
-5 -4.75 25 26 0.2294839012575916 4.865906403056508e-06
-5 -4.75 26 27 0.195666890291304 4.511255535660785e-06
-5 -4.75 27 28 0.1667504372240392 4.236822647107896e-06
-5 -4.75 28 29 0.1420122724064043 3.754039876985305e-06
-5 -4.75 29 30 0.1208436547541988 3.252064185430004e-06
-5 -4.75 30 31 0.1027301222461642 2.865935976231748e-06
-5 -4.75 31 32 0.08723442586939698 2.542925315693334e-06
-5 -4.75 32 33 0.07398436893401522 2.286903725473577e-06
-5 -4.75 33 34 0.06266170997152315 1.98915597041105e-06
-5 -4.75 34 35 0.05299400941981556 1.714832287141865e-06
-5 -4.75 35 36 0.04474738107662507 1.501357351274546e-06
-5 -4.75 36 37 0.03772107983642857 1.341447577560273e-06
-5 -4.75 37 38 0.03174201075658981 1.127056782602998e-06
-5 -4.75 38 39 0.02666117078517598 9.534832697416507e-07
-5 -4.75 39 40 0.02235024555890924 8.735333142245727e-07
-5 -4.75 40 41 0.01869860090765989 7.370823806446269e-07
-5 -4.75 41 42 0.01561059856513763 6.026570968618861e-07
-5 -4.75 42 43 0.01300412699811361 5.566654707467311e-07
-5 -4.75 43 44 0.01080841246871311 4.836827270805061e-07
-5 -4.75 44 45 0.008962310587690371 4.061270435264108e-07
-5 -4.75 45 46 0.007413409633400362 1.5097032166414e-07
-5 -4.75 46 47 0.006116773003011512 1.361051295495699e-07
-5 -4.75 47 48 0.005033682720444683 1.056998464735517e-07
-5 -4.75 48 49 0.004131089538433983 9.654565430103346e-08
-5 -4.75 49 50 0.00338072498674855 8.446228244194873e-08
-5 -4.75 50 51 0.002758460250885228 6.515114195750418e-08
-5 -4.75 51 52 0.002243738952139105 5.567570802436292e-08
-5 -4.75 52 53 0.001819119488018153 5.057147188904446e-08
-5 -4.75 53 54 0.001469800405906756 3.990793647238797e-08
-5 -4.75 54 55 0.001183243098110316 3.367501955325175e-08
-5 -4.75 55 56 0.0009488977594058124 2.993591573902891e-08
-5 -4.75 56 57 0.0007578518413092793 2.149691057486743e-08
-5 -4.75 57 58 0.0006026338623013156 1.969960244506842e-08
-5 -4.75 58 59 0.0004769810961338388 1.765343841681616e-08
-5 -4.75 59 60 0.0003756491800087932 1.347308996156203e-08
-5 -4.75 60 61 0.0002942717108007502 1.125651517581028e-08
-5 -4.75 61 62 0.0002292096924926499 8.522844585488092e-09
-5 -4.75 62 63 0.0001774428969284062 7.266507982025931e-09
-5 -4.75 63 64 0.0001364699301990423 5.405309138110069e-10
-5 -4.75 64 65 0.0001042226289740938 5.008310775472878e-09
-5 -4.75 65 66 7.899780697987522e-05 3.825939250742122e-09
-5 -4.75 66 67 5.939572167005926e-05 2.008144376087757e-10
-5 -4.75 67 68 4.427115493523626e-05 2.437478779199979e-11
-5 -4.75 68 69 3.269050462593009e-05 2.759737123341714e-11
-5 -4.75 69 70 2.389639659180855e-05 2.177972439985215e-11
-5 -4.75 70 71 1.727779942569861e-05 1.267245835177844e-11
-5 -4.75 71 72 1.234476962816383e-05 1.056898786933427e-11
-5 -4.75 72 73 8.706760713388988e-06 1.018357033458716e-11
-5 -4.75 73 74 6.054645093562267e-06 9.500959793517681e-12
-5 -4.75 74 75 4.145574071632625e-06 7.001696479072843e-12
-5 -4.75 75 76 2.790364701127236e-06 6.298306640937807e-12
-5 -4.75 76 77 1.843006419086866e-06 4.608456177627147e-12
-5 -4.75 77 78 1.191957335507929e-06 4.155645158245908e-12
-5 -4.75 78 79 7.529718305404145e-07 3.23942236556448e-12
-5 -4.75 79 80 4.632289763044444e-07 2.245876899743522e-12
-5 -4.75 80 81 2.765490758397473e-07 2.121333647036755e-12
-5 -4.75 81 82 1.595292855466555e-07 1.576466217415659e-12
-5 -4.75 82 83 8.845202718561464e-08 1.201024854873924e-12
-5 -4.75 83 84 4.682886787860296e-08 9.086477506702325e-13
-5 -4.75 84 85 2.347623596760282e-08 6.453696059074217e-13
-5 -4.75 85 86 1.102441654483489e-08 5.258634404587805e-13
-5 -4.75 86 87 4.780291339074765e-09 3.580328587059009e-14
-5 -4.75 87 88 1.876782226350141e-09 1.345039388536129e-14
-5 -4.75 88 89 6.489255150023058e-10 2.379745373390308e-15
-5 -4.75 89 90 1.896721908281745e-10 4.657701282631173e-16
-5 -4.75 90 91 4.399532203347065e-11 5.672080517933147e-16
-5 -4.75 91 92 7.306157314012979e-12 2.496439996677065e-16
-5 -4.75 92 93 7.208203806999611e-13 8.790937724582507e-18
-5 -4.75 93 94 2.806832473016905e-14 1.111884752904495e-18
-5 -4.75 94 95 3.006056991546174e-16 4.712953513806853e-21
-5 -4.75 95 96 1.890161013900141e-21 1.036343475211382e-26
-5 -4.75 96 97 0 0
-5 -4.75 97 98 0 0
-5 -4.75 98 99 0 0
-5 -4.75 99 100 0 0
-4.75 -4.5 0 1 202.0895321921722 0.005778669658013769
-4.75 -4.5 1 2 507.0672566375573 0.001954677371372782
-4.75 -4.5 2 3 318.3538438890707 0.001358145602239347
-4.75 -4.5 3 4 218.0233582007885 0.0008280651049688004
-4.75 -4.5 4 5 159.0664304162806 0.0006105885478007167
-4.75 -4.5 5 6 121.1093909925744 0.0004556541797171576
-4.75 -4.5 6 7 95.03929393142938 0.0003296828354280024
-4.75 -4.5 7 8 76.2720780258738 0.0002582467153189327
-4.75 -4.5 8 9 62.27508462133852 0.0002083809352484423
-4.75 -4.5 9 10 51.54433176462494 0.0001632907282314022
-4.75 -4.5 10 11 43.13516559287854 0.000121584062810598
-4.75 -4.5 11 12 36.42625994819102 8.487112317823176e-05
-4.75 -4.5 12 13 30.99398799624081 5.590474258809763e-05
-4.75 -4.5 13 14 26.54028435032693 3.448948023532239e-05
-4.75 -4.5 14 15 22.84987207166179 2.039712167345442e-05
-4.75 -4.5 15 16 19.76405752115604 1.249270658831847e-05
-4.75 -4.5 16 17 17.16326981613521 9.209968762746712e-06
-4.75 -4.5 17 18 14.95610106210679 7.933339116306115e-06
-4.75 -4.5 18 19 13.07168225249123 0.0005208498846993592
-4.75 -4.5 19 20 11.45417886077177 0.0003002782181784625
-4.75 -4.5 20 21 10.05920550104869 0.000134054277397766
-4.75 -4.5 21 22 8.851144887459023 1.465198143080215e-05
-4.75 -4.5 22 23 7.801056089830547 7.296077378082799e-05
-4.75 -4.5 23 24 6.885247856997575 0.000137398175521497
-4.75 -4.5 24 25 6.084210800085153 0.0001842346545553042
-4.75 -4.5 25 26 5.38175426107084 0.0002156652453182417
-4.75 -4.5 26 27 4.764324119025066 0.0002364132371175387
