#ylo yhi qTlo qThi PDF0  uncertainty
-2.5 -1.5 0 2 25180.86886331299 0.3423730941940448
-2.5 -1.5 2 3 17917.29871903278 0.1153318785763986
-2.5 -1.5 3 4 13651.89224775105 0.08100552697578678
-2.5 -1.5 4 5 10676.45861192611 0.3672850533439487
-2.5 -1.5 5 6 8585.848396518229 0.07918714076731703
-2.5 -1.5 6 7 7064.978639923886 0.05578724572205829
-2.5 -1.5 7 8 5921.610250374803 0.1496874772628871
-2.5 -1.5 8 9 5037.984947340751 0.2491779209249216
-2.5 -1.5 9 10 4339.221035456786 0.2112517229143123
-2.5 -1.5 10 11 3775.984835720745 0.1811543410062768
-2.5 -1.5 11 12 3314.628591650134 0.1568384426523153
-2.5 -1.5 12 14 5541.090844629676 0.2572516434083809
-2.5 -1.5 14 16 4438.483865944956 0.2010977512891259
-2.5 -1.5 16 18 3624.341798478159 0.160449657062145
-2.5 -1.5 18 20 3005.524686143132 0.1300673626856224
-2.5 -1.5 20 24 4666.247457057998 0.1953631987698827
-2.5 -1.5 24 28 3417.188359067744 0.1366110620001564
-2.5 -1.5 28 33 3119.821852339564 0.1181706477491389
-2.5 -1.5 33 44 4229.720342454848 0.1453384167898548
-1.5 -1 0 2 11819.6016681594 0.4837109081236122
-1.5 -1 2 3 9746.435019383978 0.1441289961021539
-1.5 -1 3 4 7603.564726608529 0.0790563906857642
-1.5 -1 4 5 6023.792590927079 0.2909649627836188
-1.5 -1 5 6 4887.40205580266 0.2294791787071517
-1.5 -1 6 7 4049.148583943318 0.1854968393481613
-1.5 -1 7 8 3412.963227779775 0.1530979869121438
-1.5 -1 8 9 2917.763427793333 0.1284196111000711
-1.5 -1 9 10 2523.928571588207 0.1091375644973596
-1.5 -1 10 11 2204.971116427813 0.09377701001767491
-1.5 -1 11 12 1942.645439999641 0.08135125293119927
-1.5 -1 12 14 3263.770727658525 0.1337536120827281
-1.5 -1 14 16 2630.910066247436 0.1048018689825767
-1.5 -1 16 18 2161.155575264768 0.08380403290129834
-1.5 -1 18 20 1802.445681393069 0.06812036506471486
-1.5 -1 20 24 2821.175057764307 0.102664525453747
-1.5 -1 24 28 2088.769355769043 0.07209336752293893
-1.5 -1 28 33 1930.432515874507 0.06261189698489034
-1.5 -1 33 44 2673.597756705517 0.07765294432556402
-1 -0.5 0 2 11456.43597830541 0.4044365573481628
-1 -0.5 2 3 9973.671972552291 0.1074911256655469
-1 -0.5 3 4 7840.748526618464 0.3811894072905488
-1 -0.5 4 5 6236.932721683143 0.2926361425115829
-1 -0.5 5 6 5073.917804643631 0.2313356260037835
-1 -0.5 6 7 4212.096733303758 0.1875765159993534
-1 -0.5 7 8 3555.973501809074 0.1551108352973642
-1 -0.5 8 9 3044.075486786385 0.1302339988237691
-1 -0.5 9 10 2636.229902641615 0.1107629019443266
-1 -0.5 10 11 2305.430208394107 0.09525551823890055
-1 -0.5 11 12 2033.013149085456 0.08266134941163727
-1 -0.5 12 14 3419.688372066263 0.136012527427738
-1 -0.5 14 16 2760.58740346838 0.1067848516127015
-1 -0.5 16 18 2270.591780974011 0.08543068860399217
-1 -0.5 18 20 1895.933189922943 0.06943626455677077
-1 -0.5 20 24 2972.138095636658 0.1047092414514736
-1 -0.5 24 28 2204.889749369737 0.07351769454180612
-1 -0.5 28 33 2041.929408130614 0.06384107614553614
-1 -0.5 33 44 2837.463674309357 0.07904721046134
-0.5 -0.25 0 2 5676.289258013606 0.182403620245168
-0.5 -0.25 2 3 5050.48918429137 0.03827940883184056
-0.5 -0.25 3 4 3982.074307496917 0.1904335431804611
-0.5 -0.25 4 5 3172.377823900039 0.1465229453565371
-0.5 -0.25 5 6 2583.43099007618 0.1159744674791909
-0.5 -0.25 6 7 2146.209071392926 0.09418605312930595
-0.5 -0.25 7 8 1812.960474410391 0.07788479318696773
-0.5 -0.25 8 9 1552.728464328061 0.06541276791836026
-0.5 -0.25 9 10 1345.237149616499 0.0557019519305868
-0.5 -0.25 10 11 1176.851179426801 0.04793613940523755
-0.5 -0.25 11 12 1038.120058524429 0.04160926244389884
-0.5 -0.25 12 14 1746.901074475867 0.06852262905772477
-0.5 -0.25 14 16 1410.873261541645 0.05378361327143466
-0.5 -0.25 16 18 1160.922261634753 0.04306261700185132
-0.5 -0.25 18 20 969.7071805264817 0.03503221091352771
-0.5 -0.25 20 24 1520.833208848256 0.052807033139743
-0.5 -0.25 24 28 1128.824001669568 0.03708281860212992
