#q2lo q2hi ylo yhi qTlo qThi PDF0  uncertainty
10 60 -5 -4 0 0.5 -467259.177543792 9.164942178060301
10 60 -5 -4 0.5 1 81527.41381540705 0.1321677898231428
10 60 -5 -4 1 1.5 84656.51953605808 3.561015064507956
10 60 -5 -4 1.5 2 67142.79915325795 2.461709339026129
10 60 -5 -4 2 2.5 53181.66953046126 1.795010775924311
10 60 -5 -4 2.5 3 42932.6387254594 1.358631215080095
10 60 -5 -4 3 3.5 35323.44347478441 1.056669899800909
10 60 -5 -4 3.5 4 29538.02147008245 0.837003403899871
10 60 -5 -4 4 4.5 25033.9847240217 0.6692699709419685
10 60 -5 -4 4.5 5 21453.0357407922 0.6038460190538899
10 60 -5 -4 5 5.5 18554.03432769439 0.4342887279162824
10 60 -5 -4 5.5 6 16170.54572128011 0.6354831753542385
10 60 -5 -4 6 6.5 14184.96722557373 0.2917471929758904
10 60 -5 -4 6.5 7 12512.17015937265 0.2404448798261001
10 60 -5 -4 7 7.5 11089.32215338059 0.1995797313884395
10 60 -5 -4 7.5 8 9869.075612873025 0.1668287006359606
10 60 -5 -4 8 8.5 8815.126874444139 0.1404074586844217
10 60 -5 -4 8.5 9 7899.190098634604 0.1188668290869828
10 60 -5 -4 9 9.5 7098.90200104112 0.1010870845047975
10 60 -5 -4 9.5 10 6396.348291490592 0.08629796154582436
10 60 -5 -4 10 10.5 5777.006774370918 0.07384339813870611
10 60 -5 -4 10.5 11 5228.979433728557 0.06369849529983185
10 60 -5 -4 11 11.5 4742.426191087152 0.2300001039748167
10 60 -5 -4 11.5 12 4309.138425972548 0.1726618393877288
10 60 -5 -4 12 12.5 3922.216682727059 0.1269379551954444
10 60 -5 -4 12.5 13 3575.822585315852 0.0905192699528925
10 60 -5 -4 13 13.5 3264.98569742777 0.06163933984407777
10 60 -5 -4 13.5 14 2985.450915247508 0.03880656343199007
10 60 -5 -4 14 14.5 2733.557927931084 0.02567334304922042
10 60 -5 -4 14.5 15 2506.144301900134 0.02290647882546182
10 60 -5 -4 15 16 4414.599447824635 0.06743526903392194
10 60 -5 -4 16 17 3736.475283468142 0.1696110070438408
10 60 -5 -4 17 18 3175.767361728754 0.02563739613242433
10 60 -5 -4 18 19 2709.597120470022 0.02106551713040972
10 60 -5 -4 19 20 2320.080664650003 0.01746807914241799
10 60 -5 -4 20 21 1993.112099810826 0.01528667463480815
10 60 -5 -4 21 22 1717.478435425007 0.01500543190127246
10 60 -5 -4 22 23 1484.201230311258 0.01443384472781872
10 60 -5 -4 23 24 1286.044656459627 0.01361820555553095
10 60 -5 -4 24 25 1117.142758622604 0.01291004556128428
10 60 -5 -4 25 26 972.7132518678944 0.01225591013405847
10 60 -5 -4 26 27 848.837382701699 0.01160219244354721
10 60 -5 -4 27 28 742.288736580892 0.01100581746675289
10 60 -5 -4 28 29 650.3985894927944 0.01036810614857586
10 60 -5 -4 29 30 570.9504631455089 0.00984384537787264
10 60 -5 -4 30 31 502.0961974423787 0.009427597904334561
10 60 -5 -4 31 32 442.2886831787418 0.009056573805082735
10 60 -5 -4 32 33 390.9362337995871 0.01390831745624155
10 60 -5 -4 33 34 344.8197591801814 0.00819411765348832
10 60 -5 -4 34 35 305.1369792489687 0.007853015249850159
10 60 -5 -4 35 36 270.3944449805489 0.007546474516914259
10 60 -5 -4 36 37 239.9241160808681 0.007201269999654869
10 60 -5 -4 37 38 213.1562614553742 0.006795644403410961
10 60 -5 -4 38 39 189.6037005616789 0.006404624585286456
10 60 -5 -4 39 40 168.8487796740368 0.006048420850902403
10 60 -5 -4 40 42 284.8789777184236 0.01086805398978186
10 60 -5 -4 42 44 227.3553413787558 0.008762981128995762
10 60 -5 -4 44 46 182.1490154292162 0.006343862861115213
10 60 -5 -4 46 48 146.453939043299 0.003748410746311492
10 60 -5 -4 48 50 118.1452260449785 0.001037140396277891
10 60 -5 -4 50 52 95.60279968236924 0.001502221328507858
10 60 -5 -4 52 54 77.58393208193432 0.00367681014131449
10 60 -5 -4 54 56 63.12983394867885 0.0003646977750051406
10 60 -5 -4 56 58 51.49679308970855 0.0002975670219598214
10 60 -5 -4 58 60 42.10507689919982 0.0002434882792741178
10 60 -5 -4 60 65 75.04336752088422 0.000434880850534114
10 60 -5 -4 65 70 46.12931471393908 0.0002687181088418811
10 60 -5 -4 70 80 46.54654594172013 0.0009086465019692014
10 60 -5 -4 80 90 18.3910300193681 0.0004446676895746293
10 60 -5 -4 90 100 7.367989806458242 0.0002091843874856281
10 60 -4 -3.5 0 0.5 -316142.1106380747 5.13612703664694
10 60 -4 -3.5 0.5 1 32040.71463584315 0.05881192201195518
10 60 -4 -3.5 1 1.5 43442.87985296052 2.040987369662616
10 60 -4 -3.5 1.5 2 36259.48373263968 1.374838991512661
10 60 -4 -3.5 2 2.5 29449.13727446512 1.016409189127444
10 60 -4 -3.5 2.5 3 24161.09108826236 0.7741524077973736
10 60 -4 -3.5 3 3.5 20117.56990419887 0.6020348727106466
10 60 -4 -3.5 3.5 4 16984.76645305379 0.4758452387177385
10 60 -4 -3.5 4 4.5 14513.05227776764 0.380503954458618
10 60 -4 -3.5 4.5 5 12527.95564738544 0.306341909992625
10 60 -4 -3.5 5 5.5 10907.94289413991 0.2485639943624847
10 60 -4 -3.5 5.5 6 9567.205117246171 0.2032354932252929
10 60 -4 -3.5 6 6.5 8444.040379670634 0.1671519057435944
10 60 -4 -3.5 6.5 7 7493.224836221388 0.138330710482478
10 60 -4 -3.5 7 7.5 6680.987548407087 0.1149549880501581
10 60 -4 -3.5 7.5 8 5981.666012908716 0.09596309679000115
10 60 -4 -3.5 8 8.5 5375.43560996087 0.08073349985079403
10 60 -4 -3.5 8.5 9 4846.7541909928 0.06837080239438365
10 60 -4 -3.5 9 9.5 4383.266185704233 0.05793836972225108
10 60 -4 -3.5 9.5 10 3975.027914436312 0.04953071416002786
10 60 -4 -3.5 10 10.5 3613.947112979809 0.04472007361255237
10 60 -4 -3.5 10.5 11 3293.370928329348 0.04105672448758924
10 60 -4 -3.5 11 11.5 3007.781265183518 0.1426176726454287
10 60 -4 -3.5 11.5 12 2752.563727445272 0.110255791641066
10 60 -4 -3.5 12 12.5 2523.831398690623 0.08435831447877717
10 60 -4 -3.5 12.5 13 2318.289557969232 0.06364075269630121
10 60 -4 -3.5 13 13.5 2133.129184303783 0.04713107289762775
10 60 -4 -3.5 13.5 14 1965.942031359845 0.03396394222409072
10 60 -4 -3.5 14 14.5 1814.654134554696 0.02348637321733804
10 60 -4 -3.5 14.5 15 1677.4720188944 0.02038284871809992
10 60 -4 -3.5 15 16 2992.233804030453 0.04795553575695521
10 60 -4 -3.5 16 17 2577.437671548848 0.02774480001471602
10 60 -4 -3.5 17 18 2230.919529055376 0.05486305674821779
10 60 -4 -3.5 18 19 1939.643019736919 0.07587024583722268
10 60 -4 -3.5 19 20 1693.400344835499 0.01161586534249182
10 60 -4 -3.5 20 21 1484.125343255381 0.009399710520710869
10 60 -4 -3.5 21 22 1305.390316636754 0.008032600401747914
10 60 -4 -3.5 22 23 1152.036056099525 0.006872603310966952
10 60 -4 -3.5 23 24 1019.891589067883 0.005994941532435405
10 60 -4 -3.5 24 25 905.563257860653 0.005160614266287666
10 60 -4 -3.5 25 26 806.2739785702745 0.005826933506227761
10 60 -4 -3.5 26 27 719.7373517781807 0.007489675719511979
10 60 -4 -3.5 27 28 644.0611791149643 0.008917781060404195
10 60 -4 -3.5 28 29 577.6723006076072 0.01003829792807664
10 60 -4 -3.5 29 30 519.2562323436879 0.01085756076884081
10 60 -4 -3.5 30 31 467.7093341136796 0.01151985786265186
10 60 -4 -3.5 31 32 422.1012854826909 0.01207138965031618
10 60 -4 -3.5 32 33 381.6448609428954 0.01245109030179492
10 60 -4 -3.5 33 34 345.6713175285131 0.01267115241057581
10 60 -4 -3.5 34 35 313.6102582762922 0.0127861812244987
10 60 -4 -3.5 35 36 284.9735132545457 0.01283548853581351
10 60 -4 -3.5 36 37 259.3420270581373 0.01280597522304561
10 60 -4 -3.5 37 38 236.354901749815 0.001167718962477693
10 60 -4 -3.5 38 39 215.7002096203527 0.001060886907083614
10 60 -4 -3.5 39 40 197.1077571071377 0.000964331215840275
10 60 -4 -3.5 40 42 345.5433004142613 0.001680905262560373
10 60 -4 -3.5 42 44 290.5946582616419 0.001404454702878866
10 60 -4 -3.5 44 46 245.4336221401271 0.001179854777859646
10 60 -4 -3.5 46 48 208.1091638476803 0.0009968439420049435
10 60 -4 -3.5 48 50 177.1025635307599 0.0008460583626117568
10 60 -4 -3.5 50 52 151.2218843733374 0.0007211388795838047
10 60 -4 -3.5 52 54 129.5246609264719 0.0006172849253118784
10 60 -4 -3.5 54 56 111.2603785148833 0.0005300505866614458
10 60 -4 -3.5 56 58 95.82751369269386 0.0004567159281521072
10 60 -4 -3.5 58 60 82.74104656679998 0.0003948366317843011
10 60 -4 -3.5 60 65 161.6416194808447 0.0007736194642689043
10 60 -4 -3.5 65 70 114.0391739682675 0.0005492578122101577
10 60 -4 -3.5 70 80 139.9076589677302 0.0006820372117601892
10 60 -4 -3.5 80 90 73.5560394713406 0.0003660070721593911
10 60 -4 -3.5 90 100 39.67794775695158 0.0006571055344153365
10 60 -3.5 -3.25 0 0.5 -179088.2499198384 2.758790714025963
10 60 -3.5 -3.25 0.5 1 13756.90311214561 0.01169061416476325
10 60 -3.5 -3.25 1 1.5 21836.10816209799 1.021709289125283
10 60 -3.5 -3.25 1.5 2 18651.23384237385 0.715738760169188
10 60 -3.5 -3.25 2 2.5 15306.88870246054 0.528438199791708
10 60 -3.5 -3.25 2.5 3 12636.80087047044 0.4040321770789888
10 60 -3.5 -3.25 3 3.5 10566.58671681665 0.3148309244643315
10 60 -3.5 -3.25 3.5 4 8948.73314443351 0.2488629005947587
10 60 -3.5 -3.25 4 4.5 7664.569690572864 0.2000186484892765
10 60 -3.5 -3.25 4.5 5 6628.584542818719 0.1626952151082151
10 60 -3.5 -3.25 5 5.5 5780.177437129276 0.1333707080857494
10 60 -3.5 -3.25 5.5 6 5076.074746054795 0.1095725485865842
10 60 -3.5 -3.25 6 6.5 4484.906043734912 0.08989568597644393
10 60 -3.5 -3.25 6.5 7 3983.530814776298 0.07374481564738744
10 60 -3.5 -3.25 7 7.5 3554.581710599909 0.06059198851335168
10 60 -3.5 -3.25 7.5 8 3184.803329000629 0.05041925058503693
10 60 -3.5 -3.25 8 8.5 2863.920403976774 0.04260071049657199
10 60 -3.5 -3.25 8.5 9 2583.847696000082 0.03627847481902791
10 60 -3.5 -3.25 9 9.5 2338.141246524209 0.03087121249518532
10 60 -3.5 -3.25 9.5 10 2121.601594934896 0.0326451560363239
10 60 -3.5 -3.25 10 10.5 1929.986537755676 0.04102648772527573
10 60 -3.5 -3.25 10.5 11 1759.802752250018 0.04892097887272939
10 60 -3.5 -3.25 11 11.5 1608.146216448097 0.07566064904426639
10 60 -3.5 -3.25 11.5 12 1472.584533170533 0.06284220651446049
10 60 -3.5 -3.25 12 12.5 1351.067753137192 0.04434859661864721
10 60 -3.5 -3.25 12.5 13 1241.852852320183 0.03327225596876815
10 60 -3.5 -3.25 13 13.5 1143.454451828199 0.02446292862509836
10 60 -3.5 -3.25 13.5 14 1054.597373871017 0.01746307531925595
10 60 -3.5 -3.25 14 14.5 974.1825459985898 0.01191447451992644
10 60 -3.5 -3.25 14.5 15 901.2587144128743 0.007543727419715651
10 60 -3.5 -3.25 15 16 1609.683137880161 0.021698375055621
10 60 -3.5 -3.25 16 17 1389.122425470497 0.0118804273574824
10 60 -3.5 -3.25 17 18 1204.824264449019 0.03136328126674925
10 60 -3.5 -3.25 18 19 1049.860518472568 0.04181328664844841
10 60 -3.5 -3.25 19 20 918.8050424645044 0.005840009474241015
10 60 -3.5 -3.25 20 21 807.3701550173345 0.004968880344335957
10 60 -3.5 -3.25 21 22 712.1399770867135 0.004257966471300278
10 60 -3.5 -3.25 22 23 630.373125839255 0.003653470918038693
10 60 -3.5 -3.25 23 24 559.8543541700884 0.003170088631009094
10 60 -3.5 -3.25 24 25 498.7821055454095 0.002755897872646074
10 60 -3.5 -3.25 25 26 445.6825145451753 0.002414888174143925
10 60 -3.5 -3.25 26 27 399.3430255322207 0.002123688361280074
10 60 -3.5 -3.25 27 28 358.7607660283659 0.001874257702354498
10 60 -3.5 -3.25 28 29 323.102051169749 0.001662607736250266
10 60 -3.5 -3.25 29 30 291.6706595382117 0.001478619905185496
10 60 -3.5 -3.25 30 31 263.8824633785138 0.001321131851625523
10 60 -3.5 -3.25 31 32 239.2452849122102 0.001183674875505858
10 60 -3.5 -3.25 32 33 217.3427716871496 0.001063655232826477
10 60 -3.5 -3.25 33 34 197.821266340002 0.0009585349274061628
10 60 -3.5 -3.25 34 35 180.379268163902 0.000865927829750035
10 60 -3.5 -3.25 35 36 164.7588460658912 0.0007847730782373219
10 60 -3.5 -3.25 36 37 150.7385696047126 0.0007125439620665475
10 60 -3.5 -3.25 37 38 138.1277135309555 0.0006485680708010477
10 60 -3.5 -3.25 38 39 126.7615220827323 0.0005911514188170486
10 60 -3.5 -3.25 39 40 116.4972019186801 0.0005404283512291386
10 60 -3.5 -3.25 40 42 206.0044303617445 0.0009487057818944322
10 60 -3.5 -3.25 42 44 175.3547308991793 0.0008006378185143603
10 60 -3.5 -3.25 44 46 149.9722285043962 0.0006799484899886465
10 60 -3.5 -3.25 46 48 128.8237928162845 0.0005809746262741555
10 60 -3.5 -3.25 48 50 111.1041110279054 0.0004988285451190677
10 60 -3.5 -3.25 50 52 96.17996620375582 0.0004305079505115827
10 60 -3.5 -3.25 52 54 83.54959045539239 0.0003729770772054053
10 60 -3.5 -3.25 54 56 72.81236375764256 0.0003246106098089285
10 60 -3.5 -3.25 56 58 63.64628347601929 0.0002835056915060363
10 60 -3.5 -3.25 58 60 55.79079660440414 0.0002484824896527016
10 60 -3.5 -3.25 60 65 111.8988070130016 0.0005002313049686791
10 60 -3.5 -3.25 65 70 82.2001158023748 0.0004409351324028421
10 60 -3.5 -3.25 70 80 107.1676402814838 0.0007280719813707037
10 60 -3.5 -3.25 80 90 61.71551392288305 0.0005219048711708751
10 60 -3.5 -3.25 90 100 36.70381518290528 0.0003641728723167148
10 60 -3.25 -3 0 0.5 -193447.2840129016 2.93719904741738
10 60 -3.25 -3 0.5 1 12222.95430508702 0.3487413403854589
10 60 -3.25 -3 1 1.5 21907.5752872873 0.9409590660980029
